city,population
"Bantam, CT",727
"Danielson, CT",4012
"Fenwick, CT",45
"Litchfield, CT",1205
"Naugatuck, CT",31108
"Newtown, CT",1960
"Stonington, CT",884
"Woodmont, CT",1552
"Allendale, NJ",6734
"Allenhurst, NJ",483
"Allentown, NJ",1775
"Alpha, NJ",2255
"Alpine, NJ",1844
"Andover, NJ",563
"Audubon, NJ",8637
"Avalon, NJ",1236
"Avon-by-the-Sea, NJ",1783
"Barrington, NJ",6642
"Beachwood, NJ",11312
"Bellmawr, NJ",11359
"Belmar, NJ",5545
"Bergenfield, NJ",27327
"Berlin, NJ",7536
"Bernardsville, NJ",7594
"Bloomingdale, NJ",8061
"Bloomsbury, NJ",839
"Bogota, NJ",8335
"Branchville, NJ",779
"Brielle, NJ",4666
"Brooklawn, NJ",1898
"Buena, NJ",4284
"Butler, NJ",7654
"Caldwell, NJ",7941
"Califon, NJ",1046
"Carlstadt, NJ",6132
"Carteret, NJ",23408
"Chatham, NJ",8635
"Chesilhurst, NJ",1618
"Chester, NJ",1624
"Clayton, NJ",8738
"Clementon, NJ",4957
"Closter, NJ",8511
"Collingswood, NJ",13884
"Cresskill, NJ",8668
"Deal, NJ",719
"Demarest, NJ",4894
"Dumont, NJ",17516
"Dunellen, NJ",7202
"Eatontown, NJ",12157
"Edgewater, NJ",13364
"Elmer, NJ",1308
"Emerson, NJ",7596
"Englishtown, NJ",1912
"Fairview, NJ",14189
"Fanwood, NJ",7697
"Farmingdale, NJ",1354
"Fieldsboro, NJ",552
"Flemington, NJ",4577
"Folsom, NJ",1775
"Franklin, NJ",4721
"Freehold, NJ",11682
"Frenchtown, NJ",1351
"Garwood, NJ",4352
"Gibbsboro, NJ",2218
"Glassboro, NJ",20288
"Haddonfield, NJ",11317
"Haledon, NJ",8293
"Hamburg, NJ",3131
"Hampton, NJ",1318
"Haworth, NJ",3393
"Hawthorne, NJ",18753
"Helmetta, NJ",2155
"Highlands, NJ",4714
"Hightstown, NJ",5304
"Hillsdale, NJ",10307
"Hi-Nella, NJ",858
"Ho-Ho-Kus, NJ",4065
"Hopatcong, NJ",14186
"Hopewell, NJ",1906
"Interlaken, NJ",789
"Jamesburg, NJ",5885
"Keansburg, NJ",9632
"Kenilworth, NJ",8191
"Keyport, NJ",6977
"Kinnelon, NJ",9896
"Lakehurst, NJ",2708
"Lavallette, NJ",1866
"Lawnside, NJ",2882
"Lebanon, NJ",1644
"Leonia, NJ",9035
"Lindenwold, NJ",17263
"Lodi, NJ",24347
"Longport, NJ",851
"Madison, NJ",17654
"Magnolia, NJ",4273
"Manasquan, NJ",5806
"Mantoloking, NJ",249
"Manville, NJ",10121
"Matawan, NJ",8640
"Maywood, NJ",9614
"Mendham, NJ",4847
"Merchantville, NJ",3700
"Metuchen, NJ",14543
"Middlesex, NJ",13679
"Milford, NJ",1181
"Millstone, NJ",408
"Milltown, NJ",6967
"Montvale, NJ",8570
"Moonachie, NJ",2702
"Mountainside, NJ",6885
"Netcong, NJ",3131
"Newfield, NJ",1543
"Northvale, NJ",4927
"Norwood, NJ",5793
"Oakland, NJ",12926
"Oaklyn, NJ",3955
"Oceanport, NJ",5722
"Ogdensburg, NJ",2255
"Oradell, NJ",8131
"Palmyra, NJ",7140
"Paramus, NJ",26264
"Paulsboro, NJ",5854
"Pemberton, NJ",1324
"Pennington, NJ",2576
"Pitman, NJ",8741
"Ramsey, NJ",14884
"Raritan, NJ",7765
"Ridgefield, NJ",11171
"Ringwood, NJ",12198
"Riverdale, NJ",4135
"Riverton, NJ",2685
"Rockaway, NJ",6276
"Rockleigh, NJ",529
"Roosevelt, NJ",836
"Roseland, NJ",5835
"Roselle, NJ",21811
"Rumson, NJ",6714
"Runnemede, NJ",8300
"Rutherford, NJ",18303
"Sayreville, NJ",44173
"Shiloh, NJ",487
"Shrewsbury, NJ",4053
"Somerdale, NJ",5477
"Somerville, NJ",12063
"Spotswood, NJ",8228
"Stanhope, NJ",3306
"Stockton, NJ",512
"Stratford, NJ",6955
"Sussex, NJ",1985
"Swedesboro, NJ",2568
"Tavistock, NJ",5
"Tenafly, NJ",14453
"Teterboro, NJ",68
"Totowa, NJ",10792
"Tuckerton, NJ",3388
"Waldwick, NJ",10108
"Wallington, NJ",11495
"Wanaque, NJ",11762
"Washington, NJ",6450
"Watchung, NJ",6006
"Wenonah, NJ",2212
"Westville, NJ",4144
"Westwood, NJ",11078
"Wharton, NJ",6369
"Woodbine, NJ",2414
"Woodlynne, NJ",2915
"Wood-Ridge, NJ",9294
"Woodstown, NJ",3436
"Wrightstown, NJ",776
"Abbottstown, PA",1026
"Adamsburg, PA",162
"Adamstown, PA",1880
"Addison, PA",206
"Akron, PA",4015
"Alba, PA",145
"Albion, PA",1449
"Alburtis, PA",2636
"Aldan, PA",4160
"Alexandria, PA",331
"Allenport, PA",495
"Ambler, PA",6491
"Ambridge, PA",6601
"Apollo, PA",1523
"Applewold, PA",286
"Archbald, PA",7030
"Arendtsville, PA",959
"Armagh, PA",115
"Arona, PA",346
"Ashland, PA",2679
"Ashley, PA",2723
"Ashville, PA",210
"Aspinwall, PA",2693
"Atglen, PA",1409
"Athens, PA",3189
"Atwood, PA",103
"Auburn, PA",698
"Austin, PA",531
"Avalon, PA",4537
"Avis, PA",1490
"Avoca, PA",2629
"Avondale, PA",1400
"Avonmore, PA",952
"Baden, PA",3880
"Baldwin, PA",19554
"Bally, PA",1245
"Bangor, PA",5228
"Barkeyville, PA",200
"Bath, PA",2668
"Beallsville, PA",465
"Beaver, PA",4266
"Beavertown, PA",963
"Bechtelsville, PA",949
"Bedford, PA",2677
"Bellefonte, PA",6241
"Bellevue, PA",8036
"Bellwood, PA",1751
"Bendersville, PA",653
"Benson, PA",186
"Bentleyville, PA",2480
"Benton, PA",810
"Berlin, PA",1941
"Bernville, PA",945
"Berrysburg, PA",371
"Berwick, PA",9903
"Bessemer, PA",1051
"Bethany, PA",224
"Biglerville, PA",1219
"Birdsboro, PA",5143
"Birmingham, PA",88
"Blain, PA",263
"Blairsville, PA",3216
"Blakely, PA",6210
"Blawnox, PA",1388
"Bloomfield, PA",1256
"Blossburg, PA",1482
"Bolivar, PA",436
"Bonneauville, PA",1838
"Boswell, PA",1186
"Bowmanstown, PA",884
"Boyertown, PA",4071
"Brackenridge, PA",3135
"Braddock, PA",2105
"Brentwood, PA",9268
"Bridgeport, PA",4570
"Bridgeville, PA",4903
"Bridgewater, PA",825
"Brisbin, PA",388
"Bristol, PA",9576
"Brockway, PA",2033
"Brookhaven, PA",8049
"Brookville, PA",3791
"Brownstown, PA",677
"Brownsville, PA",2224
"Bruin, PA",491
"Burgettstown, PA",1309
"Burlington, PA",146
"Burnham, PA",1993
"Burnside, PA",223
"California, PA",6276
"Callensburg, PA",192
"Callery, PA",379
"Callimont, PA",38
"Canonsburg, PA",8760
"Canton, PA",1861
"Carlisle, PA",19198
"Carmichaels, PA",442
"Carnegie, PA",7806
"Carrolltown, PA",784
"Cassandra, PA",134
"Casselman, PA",93
"Cassville, PA",138
"Catasauqua, PA",6599
"Catawissa, PA",1466
"Centerport, PA",363
"Centerville, PA",204
"Centerville, PA",3139
"Centralia, PA",11
"Chalfant, PA",770
"Chalfont, PA",4269
"Chambersburg, PA",21143
"Chapman, PA",206
"Charleroi, PA",3901
"Cheswick, PA",1675
"Chicora, PA",957
"Christiana, PA",1171
"Churchill, PA",2921
"Clarendon, PA",424
"Clarion, PA",5707
"Clark, PA",592
"Clarksville, PA",218
"Claysville, PA",818
"Clearfield, PA",5839
"Cleona, PA",2219
"Clintonville, PA",466
"Clymer, PA",1266
"Coaldale, PA",151
"Coaldale, PA",2140
"Coalmont, PA",101
"Coalport, PA",491
"Cochranton, PA",1076
"Cokeburg, PA",605
"Collegeville, PA",5174
"Collingdale, PA",8794
"Columbia, PA",10355
"Colwyn, PA",2551
"Confluence, PA",727
"Conneautville, PA",729
"Connoquenessing, PA",679
"Conshohocken, PA",8047
"Conway, PA",2067
"Conyngham, PA",1867
"Coopersburg, PA",2567
"Cooperstown, PA",420
"Coplay, PA",3214
"Coraopolis, PA",5424
"Cornwall, PA",4376
"Corsica, PA",344
"Coudersport, PA",2404
"Courtdale, PA",716
"Crafton, PA",5770
"Cranesville, PA",595
"Creekside, PA",289
"Cresson, PA",1553
"Cressona, PA",1591
"Curwensville, PA",2385
"Daisytown, PA",294
"Dale, PA",1126
"Dallas, PA",2792
"Dallastown, PA",3857
"Dalton, PA",1188
"Danville, PA",4648
"Darby, PA",10702
"Darlington, PA",236
"Dauphin, PA",801
"Dawson, PA",347
"Dayton, PA",510
"Deemston, PA",697
"Delmont, PA",2525
"Delta, PA",723
"Denver, PA",3851
"Derry, PA",2512
"Dillsburg, PA",2582
"Donegal, PA",110
"Donora, PA",4562
"Dormont, PA",8282
"Dover, PA",1988
"Downingtown, PA",7897
"Doylestown, PA",8272
"Dravosburg, PA",1723
"Driftwood, PA",58
"Dublin, PA",2133
"Duboistown, PA",1171
"Dudley, PA",180
"Dunbar, PA",977
"Duncannon, PA",1489
"Duncansville, PA",1163
"Dunlevy, PA",408
"Dunmore, PA",12954
"Dupont, PA",2683
"Duryea, PA",4852
"Dushore, PA",556
"Eastvale, PA",207
"Ebensburg, PA",3054
"Economy, PA",9098
"Eddystone, PA",2412
"Edgewood, PA",3004
"Edgeworth, PA",1647
"Edinboro, PA",5515
"Edwardsville, PA",4723
"Ehrenfeld, PA",210
"Elco, PA",306
"Elderton, PA",335
"Eldred, PA",761
"Elgin, PA",205
"Elizabeth, PA",1476
"Elizabethtown, PA",11445
"Elizabethville, PA",1494
"Elkland, PA",1739
"Ellport, PA",1103
"Ellsworth, PA",963
"Elverson, PA",1308
"Emlenton, PA",573
"Emmaus, PA",11467
"Emporium, PA",1816
"Emsworth, PA",2350
"Ephrata, PA",13862
"Ernest, PA",431
"Etna, PA",3308
"Everett, PA",1719
"Everson, PA",749
"Exeter, PA",5541
"Export, PA",856
"Factoryville, PA",1167
"Fairchance, PA",1886
"Fairfield, PA",518
"Fairview, PA",184
"Fallston, PA",244
"Felton, PA",512
"Ferndale, PA",1495
"Finleyville, PA",393
"Fleetwood, PA",4104
"Flemington, PA",1326
"Folcroft, PA",6632
"Forksville, PA",135
"Foxburg, PA",174
"Frackville, PA",3611
"Franklin, PA",293
"Franklintown, PA",508
"Fredonia, PA",455
"Freeburg, PA",566
"Freedom, PA",1472
"Freeland, PA",3424
"Freemansburg, PA",2629
"Freeport, PA",1677
"Friendsville, PA",107
"Galeton, PA",1077
"Gallitzin, PA",1534
"Garrett, PA",432
"Geistown, PA",2271
"Georgetown, PA",162
"Gettysburg, PA",7724
"Gilberton, PA",723
"Girard, PA",2913
"Girardville, PA",1440
"Glasgow, PA",58
"Glassport, PA",4315
"Glendon, PA",358
"Glenfield, PA",201
"Glenolden, PA",7164
"Goldsboro, PA",941
"Gordon, PA",724
"Grampian, PA",325
"Gratz, PA",756
"Greencastle, PA",3986
"Greensboro, PA",241
"Greenville, PA",5272
"Halifax, PA",887
"Hallam, PA",2645
"Hallstead, PA",1203
"Hamburg, PA",4355
"Hanover, PA",15719
"Harmony, PA",840
"Harrisville, PA",858
"Hartleton, PA",278
"Hastings, PA",1154
"Hatboro, PA",7501
"Hatfield, PA",3327
"Hawley, PA",1153
"Hawthorn, PA",458
"Haysville, PA",74
"Heidelberg, PA",1207
"Hellertown, PA",5831
"Herndon, PA",300
"Highspire, PA",2373
"Hollidaysburg, PA",5674
"Homestead, PA",3149
"Homewood, PA",105
"Honesdale, PA",4281
"Hookstown, PA",138
"Hooversville, PA",594
"Hopewell, PA",239
"Houston, PA",1238
"Houtzdale, PA",746
"Howard, PA",734
"Hughestown, PA",1349
"Hughesville, PA",2029
"Hulmeville, PA",999
"Hummelstown, PA",4823
"Hunker, PA",272
"Huntingdon, PA",6937
"Hydetown, PA",508
"Hyndman, PA",857
"Indiana, PA",13167
"Industry, PA",1711
"Ingram, PA",3198
"Irvona, PA",611
"Irwin, PA",3744
"Ivyland, PA",941
"Jacobus, PA",1833
"Jamestown, PA",573
"Jeddo, PA",92
"Jefferson, PA",253
"Jefferson, PA",732
"Jenkintown, PA",4420
"Jennerstown, PA",640
"Jermyn, PA",2053
"Jessup, PA",4400
"Johnsonburg, PA",2291
"Jonestown, PA",2028
"Kane, PA",3446
"Kenhorst, PA",2805
"Kingston, PA",12812
"Kistler, PA",316
"Kittanning, PA",3722
"Knox, PA",1069
"Knoxville, PA",599
"Koppel, PA",721
"Kulpmont, PA",2754
"Kutztown, PA",5080
"Laceyville, PA",348
"Laflin, PA",1438
"Landingville, PA",150
"Landisburg, PA",219
"Lanesboro, PA",454
"Langhorne, PA",1580
"Lansdale, PA",17083
"Lansdowne, PA",10647
"Lansford, PA",3803
"Laporte, PA",298
"Larksville, PA",4385
"Latrobe, PA",7830
"Laureldale, PA",3909
"Lawrenceville, PA",612
"Leechburg, PA",1989
"Leesport, PA",1891
"Leetsdale, PA",1157
"Lehighton, PA",5313
"Lemoyne, PA",4634
"Lenhartsville, PA",171
"Lewisberry, PA",356
"Lewisburg, PA",5708
"Lewistown, PA",8125
"Liberty, PA",2454
"Liberty, PA",234
"Ligonier, PA",1510
"Lilly, PA",880
"Lincoln, PA",1022
"Linesville, PA",976
"Lititz, PA",9465
"Littlestown, PA",4510
"Liverpool, PA",958
"Loganton, PA",478
"Loganville, PA",1313
"Lorain, PA",692
"Loretto, PA",1190
"Luzerne, PA",2812
"Lykens, PA",1769
"Lyons, PA",479
"McAdoo, PA",2156
"McClure, PA",921
"McConnellsburg, PA",1002
"McDonald, PA",2050
"McEwensville, PA",272
"McKean, PA",369
"McSherrystown, PA",3090
"Macungie, PA",3178
"McVeytown, PA",331
"Madison, PA",367
"Mahaffey, PA",352
"Malvern, PA",3455
"Manchester, PA",2740
"Manheim, PA",4849
"Manor, PA",3344
"Manorville, PA",385
"Mansfield, PA",2917
"Mapleton, PA",414
"Marianna, PA",471
"Marietta, PA",2604
"Marklesburg, PA",196
"Markleysburg, PA",281
"Mars, PA",1612
"Martinsburg, PA",1836
"Marysville, PA",2559
"Masontown, PA",3277
"Matamoras, PA",2362
"Mayfield, PA",1695
"Mechanicsburg, PA",8990
"Mechanicsville, PA",435
"Media, PA",5682
"Mercer, PA",1882
"Mercersburg, PA",1532
"Meshoppen, PA",535
"Meyersdale, PA",2019
"Middleburg, PA",1270
"Middleport, PA",377
"Middletown, PA",9594
"Midland, PA",2469
"Midway, PA",873
"Mifflin, PA",620
"Mifflinburg, PA",3475
"Mifflintown, PA",911
"Milesburg, PA",1076
"Milford, PA",982
"Millbourne, PA",1160
"Millersburg, PA",2516
"Millerstown, PA",681
"Millersville, PA",8359
"Millheim, PA",880
"Millvale, PA",3662
"Millville, PA",922
"Milton, PA",6595
"Minersville, PA",4157
"Modena, PA",530
"Mohnton, PA",3018
"Monaca, PA",5421
"Monroe, PA",512
"Montgomery, PA",1507
"Montoursville, PA",4399
"Montrose, PA",1477
"Moosic, PA",5832
"Morrisville, PA",8521
"Morton, PA",2670
"Moscow, PA",2035
"Mountville, PA",2847
"Muncy, PA",2412
"Munhall, PA",11006
"Myerstown, PA",3251
"Nanty-Glo, PA",2472
"Narberth, PA",4336
"Nazareth, PA",5702
"Nescopeck, PA",1544
"Nesquehoning, PA",3250
"Newburg, PA",94
"Newburg, PA",335
"Newell, PA",506
"Newport, PA",1589
"Newry, PA",286
"Newtown, PA",2240
"Newville, PA",1347
"Nicholson, PA",708
"Norristown, PA",34341
"Northampton, PA",9870
"Northumberland, PA",3607
"Norwood, PA",5897
"Nuangola, PA",677
"Oakdale, PA",1432
"Oakland, PA",562
"Oakmont, PA",6541
"Ohiopyle, PA",56
"Ohioville, PA",3284
"Oklahoma, PA",744
"Olyphant, PA",5023
"Orangeville, PA",479
"Orbisonia, PA",403
"Orrstown, PA",260
"Orwigsburg, PA",2952
"Oswayo, PA",131
"Oxford, PA",5581
"Paint, PA",935
"Palmerton, PA",5336
"Palmyra, PA",7587
"Parkesburg, PA",3993
"Parkside, PA",2330
"Parryville, PA",502
"Patton, PA",1598
"Paxtang, PA",1546
"Penbrook, PA",2985
"Penn, PA",465
"Penndel, PA",2157
"Pennsburg, PA",3855
"Perkasie, PA",8738
"Perryopolis, PA",1666
"Petersburg, PA",464
"Petrolia, PA",198
"Philipsburg, PA",2698
"Phoenixville, PA",16968
"Pillow, PA",297
"Pitcairn, PA",3158
"Platea, PA",400
"Pleasantville, PA",204
"Pleasantville, PA",812
"Plum, PA",27087
"Plumville, PA",287
"Plymouth, PA",5794
"Polk, PA",768
"Portage, PA",2383
"Portersville, PA",224
"Portland, PA",513
"Pottstown, PA",22600
"Pringle, PA",941
"Prompton, PA",234
"Prospect, PA",1109
"Punxsutawney, PA",5704
"Quakertown, PA",8784
"Quarryville, PA",2757
"Railroad, PA",280
"Rainsburg, PA",128
"Ramey, PA",429
"Rankin, PA",2027
"Renovo, PA",1205
"Reynoldsville, PA",2647
"Richland, PA",1612
"Richlandtown, PA",1297
"Ridgway, PA",3751
"Riegelsville, PA",852
"Rimersburg, PA",881
"Ringtown, PA",756
"Riverside, PA",1853
"Robesonia, PA",2067
"Rochester, PA",3440
"Rockhill, PA",362
"Rockledge, PA",2530
"Rockwood, PA",820
"Rome, PA",405
"Roscoe, PA",793
"Roseto, PA",1540
"Roseville, PA",184
"Rouseville, PA",473
"Royalton, PA",1022
"Royersford, PA",4755
"Rutledge, PA",799
"Saegertown, PA",946
"Salisbury, PA",675
"Salladasburg, PA",225
"Saltillo, PA",331
"Saltsburg, PA",803
"Sankertown, PA",614
"Saxonburg, PA",1438
"Saxton, PA",681
"Sayre, PA",5366
"Schellsburg, PA",318
"Schwenksville, PA",1379
"Scottdale, PA",4094
"Selinsgrove, PA",5902
"Sellersville, PA",4283
"Seward, PA",462
"Sewickley, PA",3791
"Shanksville, PA",212
"Sharpsburg, PA",3318
"Sharpsville, PA",4074
"Sheakleyville, PA",133
"Shelocta, PA",121
"Shenandoah, PA",4760
"Shickshinny, PA",813
"Shillington, PA",5319
"Shinglehouse, PA",1054
"Shippensburg, PA",5565
"Shippenville, PA",442
"Shippingport, PA",189
"Shiremanstown, PA",1628
"Shirleysburg, PA",139
"Shoemakersville, PA",1388
"Shrewsbury, PA",3855
"Silverdale, PA",854
"Slatington, PA",4307
"Sligo, PA",666
"Smethport, PA",1530
"Smicksburg, PA",43
"Smithfield, PA",826
"Smithton, PA",373
"S.N.P.J., PA",19
"Snydertown, PA",318
"Somerset, PA",5855
"Souderton, PA",7082
"Southmont, PA",2076
